gamma Case Scenario ES e_var Power n g h 
5   1   2 0.700      2.000 9.999999e-01  15  10   5 
5   1   2 0.700      2.000 1.000000e+00  20  10   5 
5   1   2 0.700      2.000 1.000000e+00  25  10   5 
5   1   2 0.700      2.000   1  25  15   5 
5   1   2 0.700      2.000 1.000000e+00  20  15  10 
6   1   2 0.700      2.000 9.869034e-01  10   5   3 
6   1   2 0.700      2.000 9.992206e-01  15   5   3 
6   1   2 0.700      2.000 9.999619e-01  20   5   3 
6   1   2 0.700      2.000 9.999999e-01  15  10   5 
6   1   2 0.700      2.000 1.000000e+00  20  10   5 
6   1   2 0.700      2.000 1.000000e+00  25  10   5 
6   1   2 0.700      2.000   1  25  15   5 
6   1   2 0.700      2.000 1.000000e+00  20  15  10 
7   1   2 0.700      2.000 9.869034e-01  10   5   3 
7   1   2 0.700      2.000 9.992206e-01  15   5   3 
7   1   2 0.700      2.000 9.999619e-01  20   5   3 
7   1   2 0.700      2.000 9.999999e-01  15  10   5 
7   1   2 0.700      2.000 1.000000e+00  20  10   5 
7   1   2 0.700      2.000 1.000000e+00  25  10   5 
7   1   2 0.700      2.000   1  25  15   5 
7   1   2 0.700      2.000 1.000000e+00  20  15  10 
1   1   3 0.300      1.000 6.597366e-01  10   5   3 
1   1   3 0.300      1.000 8.276127e-01  15   5   3 
1   1   3 0.300      1.000 9.183620e-01  20   5   3 
1   1   3 0.300      1.000 9.841413e-01  15  10   5 
1   1   3 0.300      1.000 9.973108e-01  20  10   5 
1   1   3 0.300      1.000 9.995861e-01  25  10   5 
1   1   3 0.300      1.000 9.999971e-01  25  15   5 
1   1   3 0.300      1.000 9.999408e-01  20  15  10 
2   1   3 0.300      1.000 6.597366e-01  10   5   3 
2   1   3 0.300      1.000 8.276127e-01  15   5   3 
2   1   3 0.300      1.000 9.183620e-01  20   5   3 
2   1   3 0.300      1.000 9.841413e-01  15  10   5 
2   1   3 0.300      1.000 9.973108e-01  20  10   5 
2   1   3 0.300      1.000 9.995861e-01  25  10   5 
2   1   3 0.300      1.000 9.999971e-01  25  15   5 
2   1   3 0.300      1.000 9.999408e-01  20  15  10 
3   1   3 0.300      1.000 6.597366e-01  10   5   3 
3   1   3 0.300      1.000 8.276127e-01  15   5   3 
3   1   3 0.300      1.000 9.183620e-01  20   5   3 
3   1   3 0.300      1.000 9.841413e-01  15  10   5 
3   1   3 0.300      1.000 9.973108e-01  20  10   5 
3   1   3 0.300      1.000 9.995861e-01  25  10   5 
3   1   3 0.300      1.000 9.999971e-01  25  15   5 
3   1   3 0.300      1.000 9.999408e-01  20  15  10 
4   1   3 0.300      1.000 6.597366e-01  10   5   3 
4   1   3 0.300      1.000 8.276127e-01  15   5   3 
4   1   3 0.300      1.000 9.183620e-01  20   5   3 
4   1   3 0.300      1.000 9.841413e-01  15  10   5 
4   1   3 0.300      1.000 9.973108e-01  20  10   5 
4   1   3 0.300      1.000 9.995861e-01  25  10   5 
4   1   3 0.300      1.000 9.999971e-01  25  15   5 
4   1   3 0.300      1.000 9.999408e-01  20  15  10 
5   1   3 0.300      1.000 6.597366e-01  10   5   3 
5   1   3 0.300      1.000 8.276127e-01  15   5   3 
5   1   3 0.300      1.000 9.183620e-01  20   5   3 
5   1   3 0.300      1.000 9.841413e-01  15  10   5 
5   1   3 0.300      1.000 9.973108e-01  20  10   5 
5   1   3 0.300      1.000 9.995861e-01  25  10   5 
5   1   3 0.300      1.000 9.999971e-01  25  15   5 
5   1   3 0.300      1.000 9.999408e-01  20  15  10 
